cc_code,file,row,account_code,description,nonblank_months,formulas,values_vnd
1412000083,53.KDTVN MD3課_MP FY2027_各予定(Ver01).xlsx,113,5004086291,新入社員　 制服(ズボン)　 　x2枚/人,12,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1412000083,53.KDTVN MD3課_MP FY2027_各予定(Ver01).xlsx,183,5004086291,制服上着（夏服）,12,"[0, 0, 0, 0, 0, 0, 0, 330000, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 330000.0, 0.0, 0.0, 0.0, 0.0]"
1412000083,53.KDTVN MD3課_MP FY2027_各予定(Ver01).xlsx,184,5004086291,制服上着（冬服）,12,"[0, 0, 0, 0, 0, 0, 0, 350000, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 350000.0, 0.0, 0.0, 0.0, 0.0]"
1412000083,53.KDTVN MD3課_MP FY2027_各予定(Ver01).xlsx,185,5004086291,制服ズボン,12,"[0, 0, 0, 0, 0, 0, 0, 232000, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 232000.0, 0.0, 0.0, 0.0, 0.0]"
1412000084,54.KDTVN 生産技術3課_MP FY2027_各予定(Ver01).xlsx,85,5004086291,áo mùa hè 制服（夏）,2,"[null, null, null, ""=2*165000"", null, null, null, null, ""=1*165000"", null, null, null]","[null, null, null, 330000.0, null, null, null, null, 165000.0, null, null, null]"
1412000084,54.KDTVN 生産技術3課_MP FY2027_各予定(Ver01).xlsx,86,5004086291,áo mùa đông 制服（冬）,2,"[null, null, null, null, null, null, ""=2*175000"", null, null, null, ""=1*175000"", null]","[null, null, null, null, null, null, 350000.0, null, null, null, 175000.0, null]"
1412000084,54.KDTVN 生産技術3課_MP FY2027_各予定(Ver01).xlsx,87,5004086291,quần 制服ズボン,8,"[116000, null, 116000, ""=116000*2"", null, 116000, 116000, null, 116000, ""=116000*2"", null, 116000]","[116000.0, null, 116000.0, 232000.0, null, 116000.0, 116000.0, null, 116000.0, 232000.0, null, 116000.0]"
1412000087,55.KDTVN 部品製造管理課_MP FY2027_各予定(Ver01).xlsx,75,5004086291,"制服（夏） Đồng phục ngắn tay 133,000",0,"[null, null, null, null, null, null, null, null, null, null, null, null]","[null, null, null, null, null, null, null, null, null, null, null, null]"
1412000087,55.KDTVN 部品製造管理課_MP FY2027_各予定(Ver01).xlsx,76,5004086291,"制服ズボン Quần 116,000 (妊婦ズボン Quần bầu- mượn 127,204)",0,"[null, null, null, null, null, null, null, null, null, null, null, null]","[null, null, null, null, null, null, null, null, null, null, null, null]"
1412000087,55.KDTVN 部品製造管理課_MP FY2027_各予定(Ver01).xlsx,77,5004086291,"制服（冬） Đồng phục dài tay 142,500 (10月)",0,"[null, null, null, null, null, null, null, null, null, null, null, null]","[null, null, null, null, null, null, null, null, null, null, null, null]"
1412000088,56.KDTVN 品質管理課_MP FY2027_各予定(Ver01).xlsx,123,5004086291,Đồng phục theo yêu cầu,0,"[null, null, null, null, null, null, null, null, null, null, null, null]","[null, null, null, null, null, null, null, null, null, null, null, null]"
1412000088,56.KDTVN 品質管理課_MP FY2027_各予定(Ver01).xlsx,130,5004086291,"制服・夏 165,000 VND Đồng phục hè ",0,"[null, null, null, null, null, null, null, null, null, null, null, null]","[null, null, null, null, null, null, null, null, null, null, null, null]"
1412000088,56.KDTVN 品質管理課_MP FY2027_各予定(Ver01).xlsx,131,5004086291,"制服・ズボン 116,000 VND Đồng phục quần",0,"[null, null, null, null, null, null, null, null, null, null, null, null]","[null, null, null, null, null, null, null, null, null, null, null, null]"
1412000088,56.KDTVN 品質管理課_MP FY2027_各予定(Ver01).xlsx,133,5004086291,"制服・冬 175,000 VND Đồng phục đông ",0,"[null, null, null, null, null, null, null, null, null, null, null, null]","[null, null, null, null, null, null, null, null, null, null, null, null]"
