cc_code,file,row,kind,category,account_code,description,reference_fx,formulas,values_vnd
1412000072,45.KDTVN 製品管理課_MP FY2027_各予定(Ver01).xlsx,65,interest,,9114120007,Lãi suất máy quấn màng film nhà C,26273.0,"[264043, 77768, 77768, 77768, 77768, 0, 0, 0, 0, 0, 0, 0]","[264043.0, 77768.0, 77768.0, 77768.0, 77768.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1412000073,46.KDTVN 物流管理課_MP FY2027_各予定(Ver01).xlsx,51,interest,,9114120007,固定資産金利( lãi nhà xưởng),26273.0,"[2090018, 2004630, 2126537, 2004893, 1921345, 1954974, 2012250, 1988078, 1972577, 1912149, 1769224, 1958915]","[2090018.0, 2004630.0, 2126537.0, 2004893.0, 1921345.0, 1954974.0, 2012250.0, 1988078.0, 1972577.0, 1912149.0, 1769224.0, 1958915.0]"
1412000073,46.KDTVN 物流管理課_MP FY2027_各予定(Ver01).xlsx,52,interest,,9114120007,固定資産金利 ( lãi đất),26273.0,"[265095, 261154, 277181, 261154, 250382, 254849, 262205, 259052, 256950, 249069, 230677, 255374]","[265095.0, 261154.0, 277181.0, 261154.0, 250382.0, 254849.0, 262205.0, 259052.0, 256950.0, 249069.0, 230677.0, 255374.0]"
1412000104,47.KDTVN 工程品質管理2課_MP FY2027_各予定(Ver01).xlsx,40,interest,,9114120007,固定資産金利/Interest (建物Building) Lãi TSCĐ ( Xây dựng),26273.0,"[22906903, 21647638, 22382757, 21656308, 20968744, 21068844, 21752205, 21349965, 21271934, 20873373, 19152229, 21393053]","[22906903.0, 21647638.0, 22382757.0, 21656308.0, 20968744.0, 21068844.0, 21752205.0, 21349965.0, 21271934.0, 20873373.0, 19152229.0, 21393053.0]"
1412000104,47.KDTVN 工程品質管理2課_MP FY2027_各予定(Ver01).xlsx,41,interest,,9114120007,固定資産金利 /Interest(土地 Land) Lãi TSCĐ ( Đất),26273.0,"[2904480, 2820932, 2916566, 2821983, 2732392, 2745529, 2834594, 2782048, 2771802, 2720044, 2495672, 2787565]","[2904480.0, 2820932.0, 2916566.0, 2821983.0, 2732392.0, 2745529.0, 2834594.0, 2782048.0, 2771802.0, 2720044.0, 2495672.0, 2787565.0]"
1412000057,49.KDTVN EI1課_MP FY2027_各予定(Ver01).xlsx,41,interest,,9114120007,固定資産金利　建物,26273.0,"[2705093, 2705093, 2705093, 2705093, 2705093, 2705093, 2705093, 2705093, 2705093, 2705093, 2705093, 2705093]","[2705093.0, 2705093.0, 2705093.0, 2705093.0, 2705093.0, 2705093.0, 2705093.0, 2705093.0, 2705093.0, 2705093.0, 2705093.0, 2705093.0]"
1412000057,49.KDTVN EI1課_MP FY2027_各予定(Ver01).xlsx,42,interest,,9114120007,固定資産金利　土地使用権,26273.0,"[343018, 343018, 343018, 343018, 343018, 343018, 343018, 343018, 343018, 343018, 343018, 343018]","[343018.0, 343018.0, 343018.0, 343018.0, 343018.0, 343018.0, 343018.0, 343018.0, 343018.0, 343018.0, 343018.0, 343018.0]"
1412000078,50.KDTVN ESD1課_MP FY2027_各予定(Ver01).xlsx,41,interest,,9114120007,固定資産金利　建物,26273.0,"[2705093, 2705093, 2705093, 2705093, 2705093, 2705093, 2705093, 2705093, 2705093, 2705093, 2705093, 2705093]","[2705093.0, 2705093.0, 2705093.0, 2705093.0, 2705093.0, 2705093.0, 2705093.0, 2705093.0, 2705093.0, 2705093.0, 2705093.0, 2705093.0]"
1412000078,50.KDTVN ESD1課_MP FY2027_各予定(Ver01).xlsx,42,interest,,9114120007,固定資産金利　土地使用権,26273.0,"[343018, 343018, 343018, 343018, 343018, 343018, 343018, 343018, 343018, 343018, 343018, 343018]","[343018.0, 343018.0, 343018.0, 343018.0, 343018.0, 343018.0, 343018.0, 343018.0, 343018.0, 343018.0, 343018.0, 343018.0]"
1412000078,50.KDTVN ESD1課_MP FY2027_各予定(Ver01).xlsx,277,interest,,9114120007,RAMモニター（EVRICA) 金利0.3%,26273.0,"[298116, 298116, 298116, 298116, 298116, 298116, 298116, 298116, 298116, 298116, 298116, 298116]","[298116.0, 298116.0, 298116.0, 298116.0, 298116.0, 298116.0, 298116.0, 298116.0, 298116.0, 298116.0, 298116.0, 298116.0]"
1412000081,52.KDTVN 機器製造３課_MP FY2027_各予定(Ver01).xlsx,135,interest,,9114120007,固定資産金利 建物,26273.0,"[809053652, 759285496, 752741680, 757281655, 760826671, 759038793, 755690036, 757151078, 759664090, 761115674, 762955309, 759812270]","[809053652.0, 759285496.0, 752741680.0, 757281655.0, 760826671.0, 759038793.0, 755690036.0, 757151078.0, 759664090.0, 761115674.0, 762955309.0, 759812270.0]"
1412000081,52.KDTVN 機器製造３課_MP FY2027_各予定(Ver01).xlsx,136,interest,,9114120007,固定資産金利 土地,26273.0,"[102579776, 98940965, 98088144, 98679812, 99141691, 98908649, 98472255, 98662734, 98990096, 99179261, 99419134, 99009538]","[102579776.0, 98940965.0, 98088144.0, 98679812.0, 99141691.0, 98908649.0, 98472255.0, 98662734.0, 98990096.0, 99179261.0, 99419134.0, 99009538.0]"
